word,meaning
自然,しぜん<br>tự nhiên
景色,けしき<br>phong cảnh
宗教,しゅうきょう<br>tôn giáo
愛,あい<br>yêu
温まる,あたたまる<br>trở nên ấm hơn
温める,"あたためる<br>ấm, nóng"
高まる,たかまる<br>cao lên
高める,たかめる<br>làm cao lên
強まる,つよまる<br>mạnh lên
強める,つよめる<br>làm mạnh lên
弱まる,よわまる<br>yếu đi
弱める,よわめる<br>làm yếu đi
広まる,ひろまる<br>rộng ra
広める,ひろめる<br>làm rộng ra
深まる,ふかまる<br>sâu hơn
深める,ふかめる<br>làm sâu thêm
届く,とどく<br>được giao đến
届ける,とどける<br>giao đến
かく,かく<br>gãi
つかむ,"つかむ<br>tóm, chộp"
握る,にぎる<br>nắm chặt
押さえる,おさえる<br>giữ
近づく,ちかづく<br>lại gần
近づける,ちかづける<br>mang đến gần
合う,"あう<br>gặp, hợp"
合わせる,"あわせる<br>tập hợp, hiệp lực"
当たる,"あたる<br>bị đánh, trúng đạn, đúng(trả lời)"
当てる,あてる<br>đánh
比べる,くらべる<br>so sánh
似合う,にあう<br>hợp
似る,にる<br>giống
似せる,にせる<br>bắt chước
分かれる,わかれる<br>được chia ra
分ける,わける<br>chia
足す,"たす<br>cộng, thêm vào"
引く,"ひく<br>kéo, trừ"
増える,ふえる<br>tăng lên
増やす,ふやす<br>làm tăng lên
減る,へる<br>giảm xuống
減らす,へらす<br>làm giảm xuống
変わる,かわる<br>thay đổi
変える,かえる<br>làm thay đổi
代わる・替わる・換わる,かわる<br>thay
代える・替える・換える,"かえる<br>đổi, thay thế"
返る,かえる<br>được trả lại
返す,かえす<br>trả lại
譲る,ゆずる<br>nhường
助かる,たすかる<br>được giúp
助ける,たすける<br>giúp
いじめる,いじめる<br>bắt nạt
だます,だます<br>lừa
盗む,ぬすむ<br>lấy cắp
刺さる,ささる<br>bị đâm
刺す,さす<br>đâm
殺す,ころす<br>giết
隠れる,"かくれる<br>ẩn náu, trốn"
隠す,かくす<br>che giấu
埋まる,うまる<br>bị chôn
埋める,うめる<br>chôn
囲む,かこむ<br>vây quanh
詰まる,"つまる<br>đầy, chặt"
詰める,つめる<br>đóng gói
開く,ひらく<br>mở
閉じる,とじる<br>đóng
飛ぶ,とぶ<br>bay
飛ばす,とばす<br>cho bay
振る,"ふる<br>rung, vẫy"
めくる,めくる<br>lật lên
見かける,みかける<br>tình cờ thấy
確かめる,たしかめる<br>kiểm tra lại
試す,ためす<br>thử
繰り返す,くりかえす<br>lặp lại
訳す,やくす<br>dịch
行う,おこなう<br>tổ chức
間違う,まちがう<br>bị sai
間違える,まちがえる<br>làm sai
許す,"ゆるす<br>tha thứ, cho phép"
慣れる,なれる<br>quen
慣らす,ならす<br>khởi động
立つ,たつ<br>đứng
立てる,たてる<br>dựng lên
建つ,たつ<br>được xây
建てる,たてる<br>xây
育つ,そだつ<br>được nuôi dạy
育てる,"そだてる<br>nuôi, dạy"
生える,"はえる<br>mọc, sống"
生やす,"はやす<br>nuôi (râu), trồng trọt"
汚れる,よごれる<br>bị bẩn
汚す,よごす<br>làm bẩn
壊れる,こわれる<br>bị hỏng
壊す,こわす<br>làm hỏng
割れる,われる<br>bị vỡ
割る,わる<br>làm vỡ
折れる,おれる<br>bị gãy
折る,おる<br>làm gãy
破れる,やぶれる<br>bị rách
破る,やぶる<br>xé rách
曲がる,"まがる<br>gập, cong, rẽ, quẹo"
曲げる,"まげる<br>bẻ, uốn"
外れる,はずれる<br>bị rời ra
外す,はずす<br>tách ra
揺れる,ゆれる<br>bị rung
揺らす,ゆらす<br>đung đưa
流れる,ながれる<br>chảy
流す,ながす<br>cho chảy
濡れる,ぬれる<br>bị ướt
濡らす,ぬらす<br>làm ướt
迷う,まよう<br>lạc đường
悩む,なやむ<br>băn khoăn
慌てる,あわてる<br>vội vàng
覚める,さめる<br>thức dậy
覚ます,"さます<br>mở mắt, tỉnh"
眠る,ねむる<br>ngủ
祈る,"いのる<br>cầu, khấn"
祝う,いわう<br>ăn mừng
感じる,かんじる<br>cảm thấy
クラスメート,クラスメート<br>bạn cùng lớp
グループ,グループ<br>nhóm
チーム,チーム<br>đội
プロフェッショナル,プロフェッショナル<br>chuyên nghiệp
アマチュア,アマチュア<br>nghiệp dư
トレーニング,トレーニング<br>đào tạo
マッサージ,マッサージ<br>mát xa
アドバイス,アドバイス<br>khuyên
アイデア・アイディア,アイデア・アイディア<br>ý tưởng
トップ,トップ<br>top
スピード,スピード<br>tốc độ
ラッシュ,ラッシュ<br>đông đúc
バイク,バイク<br>xe máy
ヘルメット,ヘルメット<br>mũ bảo hiểm
コンタクトレンズ,コンタクトレンズ<br>kính áp tròng
ガラス,ガラス<br>kính
プラスチック,プラスチック<br>nhựa
ベランダ,ベランダ<br>ban công
ペット,ペット<br>thú cưng
ベンチ,ベンチ<br>ghế bành
デザイン,デザイン<br>thiết kế
バーゲンセール,バーゲンセール<br>sale
パート,パート<br>làm thêm
コンビニエンスストア,コンビニエンスストア<br>cửa hàng tiện ích
レジ,レジ<br>máy tính tiền
レシート,レシート<br>hóa đơn
インスタント,インスタント<br>ăn liền
ファストフード,ファストフード<br>đồ ăn nhanh
フルーツ,フルーツ<br>trái cây
デザート,デザート<br>tráng miệng
インターネット,インターネット<br>internet
チャイム,チャイム<br>chuông
アナウンス,アナウンス<br>thông báo
メッセージ,メッセージ<br>tin nhắn
パンフレット,パンフレット<br>tờ rơi
カード,カード<br>card
インタビュー,インタビュー<br>phỏng vấn
アンケート,アンケート<br>tờ câu hỏi
データ,データ<br>dữ liệu
パーセント,パーセント<br>phần trăm
濃い,"こい<br>đậm, đặc"
薄い,"うすい<br>mỏng, nhạt"
酸っぱい,すっぱい<br>chua
臭い,くさい<br>thối
おかしい,"おかしい<br>lạ, có vấn đề"
かっこいい,かっこいい<br>bảnh bao
うまい,うまい<br>ngon
親しい,したしい<br>thân thiết
詳しい,くわしい<br>chi tiết
細かい,"こまかい<br>tiểu tiết, bé, tiền lẻ"
浅い,あさい<br>nông
固い・硬い,かたい<br>cứng
ぬるい,ぬるい<br>nguội
まぶしい,まぶしい<br>chói
蒸し暑い,むしあつい<br>nóng ẩm
清潔な,せいけつな<br>sạch
新鮮な,しんせんな<br>tươi
豊かな,ゆたかな<br>giàu có
立派な,りっぱな<br>siêu
正確な,せいかくな<br>chính xác
確かな,たしかな<br>đích thực
重要な,じゅうような<br>quan trọng
必要な,ひつような<br>cần thiết
もったいない,もったいない<br>lãng phí
すごい,"すごい<br>ghê, siêu"
ひどい,ひどい<br>tồi
激しい,はげしい<br>mãnh liệt
そっくりな,そっくりな<br>giống
急な,きゅうな<br>đột nhiên
適当な,てきとな<br>phù hợp
特別な,とくべつな<br>đặc biệt
完全な,かんぜんな<br>toàn bộ
盛んな,さかんな<br>thịnh vượng
様々な,さまざまな<br>đa đạng
